strike,instrument_token,instrument_type,iv
16100.0,14924290,CE,37.01
16100.0,14924546,PE,26.13
16150.0,14924802,CE,40.0
16150.0,14925058,PE,25.61
16200.0,14925314,CE,35.98
16200.0,14925570,PE,24.95
16250.0,14925826,CE,34.84
16250.0,14926082,PE,24.06
16300.0,14931202,CE,33.43
16300.0,14931458,PE,23.55
16350.0,14931714,CE,32.18
16350.0,14931970,PE,22.74
16400.0,14932226,CE,32.68
16400.0,14932482,PE,22.08
16450.0,14932738,CE,30.94
16450.0,14932994,PE,21.09
16500.0,14934018,PE,20.61
16500.0,14933762,CE,0.0
16550.0,14934786,CE,0.0
16550.0,14935298,PE,19.87
16600.0,14937346,PE,19.11
16600.0,14936834,CE,0.0
16650.0,14937602,CE,25.66
16650.0,14937858,PE,18.53
16700.0,14940162,PE,17.93
16700.0,14939906,CE,0.0
16750.0,14940418,CE,0.0
16750.0,14940674,PE,17.2
16800.0,14941698,PE,16.6
16800.0,14941442,CE,0.0
16850.0,14941954,CE,0.0
16850.0,14942210,PE,15.9
16900.0,14943234,PE,15.22
16900.0,14942978,CE,0.0
16950.0,14944258,PE,14.69
16950.0,14943490,CE,0.0
17000.0,14944770,PE,14.24
17000.0,14944514,CE,0.0
17050.0,14945282,PE,13.73
17050.0,14945026,CE,0.0
17100.0,14945538,CE,9.44
17100.0,14945794,PE,13.3
17150.0,14946050,CE,8.59
17150.0,14946306,PE,12.95
17200.0,14946562,CE,9.97
17200.0,14948098,PE,12.66
17250.0,14948354,CE,10.56
17250.0,14949634,PE,12.4
17300.0,14950402,CE,10.41
17300.0,14951682,PE,12.26
17350.0,14951938,CE,10.47
17350.0,14952450,PE,12.1
17400.0,14953218,CE,10.6
17400.0,14953474,PE,12.05
17450.0,14953986,PE,12.0
17450.0,14953730,CE,10.63
17500.0,14954498,PE,11.96
17500.0,14954242,CE,10.64
17550.0,14954754,CE,10.7
17550.0,14955010,PE,12.03
17600.0,14956290,PE,12.26
17600.0,14956034,CE,10.72
17650.0,14956802,PE,12.55
17650.0,14956546,CE,10.78
17700.0,14957826,PE,12.65
17700.0,14957570,CE,10.86
17750.0,14961410,PE,13.15
17750.0,14958082,CE,10.99
17800.0,14961922,PE,13.51
17800.0,14961666,CE,11.12
17850.0,14962434,PE,14.55
17850.0,14962178,CE,11.32
17900.0,14962946,PE,14.81
17900.0,14962690,CE,11.62
17950.0,14963202,CE,12.03
17950.0,14963458,PE,16.42
18000.0,14963714,CE,12.64
18000.0,14964482,PE,16.67
18050.0,14966018,PE,18.24
18050.0,14965762,CE,13.11
18100.0,14966530,PE,18.78
18100.0,14966274,CE,13.89
18150.0,14966786,CE,14.53
18150.0,14967042,PE,19.95
18200.0,14967298,CE,15.18
18200.0,14967554,PE,20.32
18250.0,14967810,CE,15.83
18250.0,14968066,PE,22.58
18300.0,14969090,PE,26.57
18300.0,14968834,CE,16.65
18350.0,14969346,CE,17.34
18350.0,14969602,PE,0.0
18400.0,14970114,PE,28.98
18400.0,14969858,CE,18.18
18450.0,14970370,CE,18.77
18450.0,14970626,PE,32.51
18500.0,14971650,PE,26.85
18500.0,14971394,CE,19.59
18550.0,14971906,CE,20.27
18550.0,14972162,PE,0.0
18600.0,14972674,PE,33.75
18600.0,14972418,CE,21.0
18650.0,14974210,PE,36.03
18650.0,14972930,CE,21.72
18700.0,14975234,PE,0.0
18700.0,14974466,CE,22.26
18750.0,14976002,CE,22.95
18750.0,14976258,PE,0.0
18800.0,14977282,PE,28.72
18800.0,14977026,CE,23.53
18850.0,14977794,PE,0.0
18850.0,14977538,CE,24.38
18900.0,14979330,PE,0.0
18900.0,14978050,CE,24.94
18950.0,14979586,CE,25.69
18950.0,14979842,PE,0.0
19000.0,14980354,PE,38.93
19000.0,14980098,CE,26.43
19050.0,14980866,PE,0.0
19050.0,14980610,CE,26.94
19100.0,14995202,PE,0.0
19100.0,14994946,CE,27.67
19150.0,14995714,PE,0.0
19150.0,14995458,CE,28.15
19200.0,14996226,PE,0.0
19200.0,14995970,CE,28.99
19250.0,14996738,PE,0.0
19250.0,14996482,CE,29.7
19300.0,14997250,PE,0.0
19300.0,14996994,CE,30.41
19350.0,14997506,CE,30.99
19350.0,14997762,PE,0.0
19400.0,14998274,PE,0.0
19400.0,14998018,CE,31.82
19450.0,14998786,PE,0.0
19450.0,14998530,CE,32.52
19500.0,15014402,PE,55.92
19500.0,14999042,CE,33.21
19550.0,15014914,PE,0.0
19550.0,15014658,CE,33.9
19600.0,15015170,CE,34.3
19600.0,15015426,PE,61.19
